Time,accX,accY,accZ,DT,Hour
1573584487284.0,2.0454016,6.414755,7.077553699999999,2019-11-12 12:48:07.284000-06:00,2019-11-12 12:00
1573584487304.0,1.5998427,6.340495,6.56013,2019-11-12 12:48:07.304000-06:00,2019-11-12 12:00
1573584487324.0,1.1734474,6.249467,5.7696223,2019-11-12 12:48:07.324000-06:00,2019-11-12 12:00
1573584487345.0,0.9674363000000001,6.1272974,5.343227,2019-11-12 12:48:07.345000-06:00,2019-11-12 12:00
1573584487365.0,0.8189166999999999,6.043456,5.4270687,2019-11-12 12:48:07.365000-06:00,2019-11-12 12:00
1573584487386.0,1.2429163,5.9141,6.43317,2019-11-12 12:48:07.386000-06:00,2019-11-12 12:00
1573584487405.0,2.0454016,6.4387097,7.3506384,2019-11-12 12:48:07.405000-06:00,2019-11-12 12:00
1573584487425.0,2.5987572999999995,6.687839500000001,7.860875,2019-11-12 12:48:07.425000-06:00,2019-11-12 12:00
1573584487445.0,2.7975817000000003,6.6016026,8.351948,2019-11-12 12:48:07.445000-06:00,2019-11-12 12:00
1573584487466.0,3.049107,6.965714999999999,8.481304,2019-11-12 12:48:07.466000-06:00,2019-11-12 12:00
1573584487486.0,3.2910504,6.984878999999999,8.023767,2019-11-12 12:48:07.486000-06:00,2019-11-12 12:00
1573584487506.0,2.934124,6.6806529999999995,7.424898,2019-11-12 12:48:07.506000-06:00,2019-11-12 12:00
1573584487526.0,2.6730169999999998,6.649512,7.2620059999999995,2019-11-12 12:48:07.526000-06:00,2019-11-12 12:00
1573584487546.0,2.6730169999999998,6.8363595,6.9937119999999995,2019-11-12 12:48:07.546000-06:00,2019-11-12 12:00
1573584487567.0,2.6658306,6.9369693,6.617621400000001,2019-11-12 12:48:07.567000-06:00,2019-11-12 12:00
1573584487586.0,2.6251075,6.8962460000000005,6.378074,2019-11-12 12:48:07.586000-06:00,2019-11-12 12:00
1573584487606.0,2.4190962000000003,6.702212299999999,6.169667,2019-11-12 12:48:07.606000-06:00,2019-11-12 12:00
1573584487627.0,2.2106895,6.810009,5.954073999999999,2019-11-12 12:48:07.627000-06:00,2019-11-12 12:00
1573584487647.0,2.4646103,6.575252000000001,6.4092150000000006,2019-11-12 12:48:07.647000-06:00,2019-11-12 12:00
1573584487667.0,2.8526778,6.580042999999999,6.33256,2019-11-12 12:48:07.667000-06:00,2019-11-12 12:00
1573584487687.0,3.0011976000000002,6.5728564,6.339746,2019-11-12 12:48:07.687000-06:00,2019-11-12 12:00
1573584487708.0,2.883819,6.400382,6.399633000000001,2019-11-12 12:48:07.708000-06:00,2019-11-12 12:00
1573584487727.0,2.6897852,6.1728115,6.481079599999999,2019-11-12 12:48:07.727000-06:00,2019-11-12 12:00
1573584487748.0,2.5891752,6.2279077,6.246322599999999,2019-11-12 12:48:07.748000-06:00,2019-11-12 12:00
1573584487768.0,2.4047234,6.132088700000001,5.9373059999999995,2019-11-12 12:48:07.768000-06:00,2019-11-12 12:00
1573584487787.0,2.3160908,6.1680209999999995,6.088221,2019-11-12 12:48:07.787000-06:00,2019-11-12 12:00
1573584487808.0,2.4694013999999997,6.3165402,6.3972373,2019-11-12 12:48:07.808000-06:00,2019-11-12 12:00
1573584487828.0,2.8143504,6.4291279999999995,6.497848,2019-11-12 12:48:07.828000-06:00,2019-11-12 12:00
1573584487848.0,3.1664855,6.529738,6.4954524000000005,2019-11-12 12:48:07.848000-06:00,2019-11-12 12:00
1573584487868.0,3.3557284,6.5177603,6.53378,2019-11-12 12:48:07.868000-06:00,2019-11-12 12:00
1573584487888.0,3.5521576,6.3908005,6.1984129999999995,2019-11-12 12:48:07.888000-06:00,2019-11-12 12:00
1573584487908.0,3.5785080000000002,6.323727,6.4499379999999995,2019-11-12 12:48:07.908000-06:00,2019-11-12 12:00
1573584487929.0,3.669536,6.0075235000000005,6.3373504,2019-11-12 12:48:07.929000-06:00,2019-11-12 12:00
1573584487948.0,3.5593440000000003,6.4578733,6.569711999999999,2019-11-12 12:48:07.948000-06:00,2019-11-12 12:00
1573584487968.0,3.1760676,6.3261223,7.005689,2019-11-12 12:48:07.968000-06:00,2019-11-12 12:00
1573584487989.0,2.7903955000000003,5.9668007,8.1124,2019-11-12 12:48:07.989000-06:00,2019-11-12 12:00
1573584488009.0,3.1760676,5.317626000000001,8.828648,2019-11-12 12:48:08.009000-06:00,2019-11-12 12:00
1573584488029.0,3.9881344,4.9559083,9.049032,2019-11-12 12:48:08.029000-06:00,2019-11-12 12:00
1573584488049.0,3.8276377,4.924767500000001,9.147247,2019-11-12 12:48:08.049000-06:00,2019-11-12 12:00
1573584488070.0,3.123367,4.603773599999999,8.704084,2019-11-12 12:48:08.070000-06:00,2019-11-12 12:00
1573584488090.0,3.041921,4.7307334,8.423813,2019-11-12 12:48:08.090000-06:00,2019-11-12 12:00
1573584488110.0,3.1569037,5.1715016,7.9998130000000005,2019-11-12 12:48:08.110000-06:00,2019-11-12 12:00
1573584488130.0,3.1880447999999997,5.3128347,7.95909,2019-11-12 12:48:08.130000-06:00,2019-11-12 12:00
1573584488150.0,3.0754572999999996,5.027773000000001,8.196242,2019-11-12 12:48:08.150000-06:00,2019-11-12 12:00
1573584488170.0,2.9604745,4.9559083,7.9566936,2019-11-12 12:48:08.170000-06:00,2019-11-12 12:00
1573584488190.0,2.9125647999999997,4.7451067,7.4823885,2019-11-12 12:48:08.190000-06:00,2019-11-12 12:00
1573584488210.0,2.7999772999999997,4.668451,7.556649,2019-11-12 12:48:08.210000-06:00,2019-11-12 12:00
1573584488230.0,2.7975817000000003,4.443276,7.283564599999999,2019-11-12 12:48:08.230000-06:00,2019-11-12 12:00
1573584488251.0,2.883819,4.5151405,7.132649400000001,2019-11-12 12:48:08.251000-06:00,2019-11-12 12:00
1573584488271.0,3.0706666,4.7139654,7.185349499999999,2019-11-12 12:48:08.271000-06:00,2019-11-12 12:00
1573584488291.0,3.2383502,4.807389,7.115881,2019-11-12 12:48:08.291000-06:00,2019-11-12 12:00
1573584488310.0,3.128158,4.8960214,7.0464125,2019-11-12 12:48:08.310000-06:00,2019-11-12 12:00
1573584488331.0,3.0395252999999998,4.934349500000001,6.8907065,2019-11-12 12:48:08.331000-06:00,2019-11-12 12:00
1573584488351.0,3.1760676,5.0397506,7.0008984,2019-11-12 12:48:08.351000-06:00,2019-11-12 12:00
1573584488371.0,3.2311634999999996,5.0134,7.28596,2019-11-12 12:48:08.371000-06:00,2019-11-12 12:00
1573584488391.0,3.2551183999999997,4.8960214,7.3554287,2019-11-12 12:48:08.391000-06:00,2019-11-12 12:00
1573584488411.0,3.2119999999999997,5.0732870000000005,7.5326949999999995,2019-11-12 12:48:08.411000-06:00,2019-11-12 12:00
1573584488431.0,3.0323389,4.848112,7.5877905,2019-11-12 12:48:08.431000-06:00,2019-11-12 12:00
1573584488452.0,2.9604745,4.927163,7.815361,2019-11-12 12:48:08.452000-06:00,2019-11-12 12:00
1573584488471.0,3.1209714,5.070891400000001,7.868061999999999,2019-11-12 12:48:08.471000-06:00,2019-11-12 12:00
1573584488491.0,3.343751,5.037355000000001,7.398547,2019-11-12 12:48:08.491000-06:00,2019-11-12 12:00
