Time,rotX,rotY,rotZ,DT,Hour
1573584488743.0,0.030818637000000003,-0.0957815,0.011528108,2019-11-12 12:48:08.743000-06:00,2019-11-12 12:00
1573584488793.0,-0.0033539045,-0.013176014,-0.015935175,2019-11-12 12:48:08.793000-06:00,2019-11-12 12:00
1573584488843.0,0.021732144,0.010919584,0.049155552000000005,2019-11-12 12:48:08.843000-06:00,2019-11-12 12:00
1573584488893.0,0.12250472,0.14385712,0.08242283,2019-11-12 12:48:08.893000-06:00,2019-11-12 12:00
1573584488943.0,0.24452567,0.13321024,0.16857095,2019-11-12 12:48:08.943000-06:00,2019-11-12 12:00
1573584488993.0,0.2053315,0.07851598,0.24214761,2019-11-12 12:48:08.993000-06:00,2019-11-12 12:00
1573584489043.0,0.2264259,0.087962955,0.28233084,2019-11-12 12:48:09.043000-06:00,2019-11-12 12:00
1573584489093.0,0.20000462,0.06116014,0.23101452,2019-11-12 12:48:09.093000-06:00,2019-11-12 12:00
1573584489142.0,0.17677724,0.14055414,0.20553203,2019-11-12 12:48:09.142000-06:00,2019-11-12 12:00
1573584489193.0,0.14951272,0.10540203,0.16998377,2019-11-12 12:48:09.193000-06:00,2019-11-12 12:00
1573584489243.0,0.19954639999999998,-0.008885077,0.17668782,2019-11-12 12:48:09.243000-06:00,2019-11-12 12:00
1573584489293.0,0.17394154,-0.00133706,0.20363674,2019-11-12 12:48:09.293000-06:00,2019-11-12 12:00
1573584489343.0,0.19036579,0.02067171,0.20807365,2019-11-12 12:48:09.343000-06:00,2019-11-12 12:00
1573584489393.0,0.18602057,0.09603599,0.18856731,2019-11-12 12:48:09.393000-06:00,2019-11-12 12:00
1573584489443.0,0.10736512,0.035629287,0.00669039,2019-11-12 12:48:09.443000-06:00,2019-11-12 12:00
1573584489492.0,0.07595023,-0.047604904,-0.09405276,2019-11-12 12:48:09.492000-06:00,2019-11-12 12:00
1573584489543.0,-0.040565002999999995,-0.17520198,-0.051227853,2019-11-12 12:48:09.543000-06:00,2019-11-12 12:00
1573584489593.0,-0.08272859,-0.16280767,0.002508862,2019-11-12 12:48:09.593000-06:00,2019-11-12 12:00
1573584489643.0,-0.19871339,-0.13671002,0.06293812,2019-11-12 12:48:09.643000-06:00,2019-11-12 12:00
1573584489693.0,-0.21696636,-0.12408717,0.042268664000000004,2019-11-12 12:48:09.693000-06:00,2019-11-12 12:00
1573584489743.0,-0.17060322,0.06535767,0.05491536,2019-11-12 12:48:09.743000-06:00,2019-11-12 12:00
1573584489793.0,-1.0188764000000001,1.2419487,0.13984457,2019-11-12 12:48:09.793000-06:00,2019-11-12 12:00
1573584489842.0,-3.0886464,3.7341877999999995,-0.28005832,2019-11-12 12:48:09.842000-06:00,2019-11-12 12:00
1573584489893.0,-2.5421784,3.4987442000000004,-0.38581955,2019-11-12 12:48:09.893000-06:00,2019-11-12 12:00
1573584489943.0,0.05958804,0.29346377,-0.8682145,2019-11-12 12:48:09.943000-06:00,2019-11-12 12:00
1573584489993.0,2.9954807999999997,-2.0148551,-0.56512886,2019-11-12 12:48:09.993000-06:00,2019-11-12 12:00
1573584490043.0,3.8653017999999997,-3.4188612000000003,0.031507492000000005,2019-11-12 12:48:10.043000-06:00,2019-11-12 12:00
1573584490092.0,2.7694116,-3.3620381,1.1389135,2019-11-12 12:48:10.092000-06:00,2019-11-12 12:00
1573584490143.0,2.0571759999999997,-2.991384,1.9528917000000001,2019-11-12 12:48:10.143000-06:00,2019-11-12 12:00
1573584490193.0,0.67600787,-0.7346847,1.673835,2019-11-12 12:48:10.193000-06:00,2019-11-12 12:00
1573584490243.0,-0.22935681,0.6082083,1.461867,2019-11-12 12:48:10.243000-06:00,2019-11-12 12:00
1573584490293.0,-0.32316333,0.5327071,1.3778404,2019-11-12 12:48:10.293000-06:00,2019-11-12 12:00
1573584490343.0,0.32161233,-0.22376657,0.9241845999999999,2019-11-12 12:48:10.343000-06:00,2019-11-12 12:00
1573584490393.0,0.49037895,0.81261384,0.8089592,2019-11-12 12:48:10.393000-06:00,2019-11-12 12:00
1573584490443.0,0.33388165,0.8781658999999999,0.79959476,2019-11-12 12:48:10.443000-06:00,2019-11-12 12:00
1573584490493.0,0.544571,-0.11042708,0.48746938,2019-11-12 12:48:10.493000-06:00,2019-11-12 12:00
1573584490543.0,0.030468915,0.08590889,0.044392377000000004,2019-11-12 12:48:10.543000-06:00,2019-11-12 12:00
1573584490593.0,-0.99585843,0.033022462999999995,-0.20823923,2019-11-12 12:48:10.593000-06:00,2019-11-12 12:00
1573584490643.0,-1.823959,-0.6871448,-0.41702086,2019-11-12 12:48:10.643000-06:00,2019-11-12 12:00
1573584490693.0,-1.8693856,-1.276361,-0.59482026,2019-11-12 12:48:10.693000-06:00,2019-11-12 12:00
1573584490743.0,-0.6243204000000001,-1.3378393999999998,-0.41087228,2019-11-12 12:48:10.743000-06:00,2019-11-12 12:00
1573584490793.0,0.48302272,0.03698901,-0.08361060000000001,2019-11-12 12:48:10.793000-06:00,2019-11-12 12:00
1573584490843.0,0.21521719,0.16621011,-0.2219435,2019-11-12 12:48:10.843000-06:00,2019-11-12 12:00
1573584490893.0,0.05175818,-0.5340433000000001,-0.3598749,2019-11-12 12:48:10.893000-06:00,2019-11-12 12:00
1573584490943.0,-0.025146942999999998,-0.571524,-0.35240164,2019-11-12 12:48:10.943000-06:00,2019-11-12 12:00
1573584490993.0,-0.16069372,-0.22620477,-0.08522668,2019-11-12 12:48:10.993000-06:00,2019-11-12 12:00
1573584491043.0,-0.33799145,-0.34206325,0.10702493,2019-11-12 12:48:11.043000-06:00,2019-11-12 12:00
1573584491093.0,-0.61901903,-0.35692212,0.1192157,2019-11-12 12:48:11.093000-06:00,2019-11-12 12:00
1573584491143.0,-0.58528954,-0.29209164,0.111418396,2019-11-12 12:48:11.143000-06:00,2019-11-12 12:00
1573584491193.0,-0.2464143,-0.18436432,-0.064178154,2019-11-12 12:48:11.193000-06:00,2019-11-12 12:00
1573584491243.0,-0.35744837,0.2385335,-0.25481695,2019-11-12 12:48:11.243000-06:00,2019-11-12 12:00
1573584491292.0,-0.3943355,0.6227569000000001,-0.27439108,2019-11-12 12:48:11.292000-06:00,2019-11-12 12:00
1573584491343.0,-0.16976394,1.0107763,-0.16085172,2019-11-12 12:48:11.343000-06:00,2019-11-12 12:00
1573584491393.0,0.9570976999999999,1.7823460999999998,-0.1740664,2019-11-12 12:48:11.393000-06:00,2019-11-12 12:00
1573584491443.0,0.8402492,3.1991982000000005,-0.2341595,2019-11-12 12:48:11.443000-06:00,2019-11-12 12:00
1573584491493.0,0.5187279,3.9584713,-0.3069421,2019-11-12 12:48:11.493000-06:00,2019-11-12 12:00
